中国海洋大学,贵州,2021,文科,630
清华大学,湖南,2021,理科,725
内蒙古大学,陕西,2021,理科,535
东北师范大学,甘肃,2021,文科,622
南京大学,福建,2021,理科,678
东南大学,四川,2021,理科,662
中南财经政法大学,河北,2021,理科,635
哈尔滨工业大学,青海,2021,理科,575
中国矿业大学,山西,2021,理科,591
天津医科大学,河北,2021,理科,669
西北工业大学,江西,2021,理科,602
石河子大学,广东,2021,理科,542
华东理工大学,广西,2021,文科,576
中南财经政法大学,山西,2021,理科,604
湖南大学,广东,2021,理科,617
中南财经政法大学,福建,2021,理科,591
中国农业大学,新疆,2021,文科,534
南昌大学,福建,2021,理科,586
宁夏大学,贵州,2021,理科,521
长安大学,宁夏,2021,理科,520
南京农业大学,辽宁,2021,文科,615
长安大学,重庆,2021,文科,625
中国石油大学（北京）克拉玛依校区,四川,2021,理科,560
海南大学,四川,2021,文科,539
贵州大学,贵州,2021,文科,552
四川大学,云南,2021,理科,636
华东理工大学,浙江,2021,综合,646
海南大学,贵州,2021,文科,601
西南大学,浙江,2021,综合,648
西安交通大学,湖北,2021,理科,610
北京体育大学,宁夏,2021,理科,472
重庆大学,湖北,2021,理科,619
西安交通大学,福建,2021,理科,654
西北农林科技大学,河北,2021,理科,628
哈尔滨工业大学（深圳）,浙江,2021,综合,646
西北大学,辽宁,2021,理科,585
南京航空航天大学,重庆,2021,理科,643
中国人民大学,黑龙江,2021,理科,688
南开大学,福建,2021,理科,655
苏州大学,山西,2021,理科,572
石河子大学,四川,2021,理科,577
哈尔滨工业大学,江西,2021,理科,609
贵州大学,广东,2021,理科,557
石河子大学,四川,2021,理科,454
武汉大学,四川,2021,理科,675
北京外国语大学,广西,2021,理科,583
延边大学,河南,2021,文科,603
新疆大学,四川,2021,文科,562
北京理工大学,湖南,2021,理科,653
中国石油大学（北京）,湖北,2021,文科,583
中国政法大学,江西,2021,文科,603
湖南师范大学,浙江,2021,综合,638
合肥工业大学宣城校区,四川,2021,文科,582
西北工业大学,湖南,2021,理科,612
南昌大学,新疆,2021,理科,540
天津医科大学,贵州,2021,理科,634
北京理工大学,江苏,2021,文科,398
中国农业大学,湖北,2021,文科,583
中国政法大学,湖北,2021,理科,618
广西大学,吉林,2021,理科,528
北京中医药大学,黑龙江,2021,文科,614
南京师范大学,江苏,2021,文科,390
石河子大学,湖北,2021,文科,549
西安电子科技大学,河北,2021,文科,597
中国矿业大学,江苏,2021,理科,375
中国石油大学（北京）,河北,2021,文科,619
中南大学,河南,2021,文科,667
东北师范大学,湖北,2021,理科,603
青海大学,福建,2021,理科,518
上海交通大学,黑龙江,2021,文科,635
郑州大学,上海,2021,综合,529
兰州大学,四川,2021,理科,631
吉林大学,宁夏,2021,理科,542
浙江大学,山西,2021,文科,631
华北电力大学,河北,2021,理科,654
复旦大学上海医学院,福建,2021,理科,677
四川农业大学,内蒙古,2021,理科,512
中国传媒大学,江西,2021,文科,649
苏州大学,吉林,2021,文科,587
西南大学,贵州,2021,理科,590
中央民族大学,黑龙江,2021,理科,584
南京师范大学,江西,2021,文科,592
西北工业大学,甘肃,2021,理科,615
中国地质大学（北京）,黑龙江,2021,文科,577
东南大学,贵州,2021,理科,625
山东大学,四川,2021,理科,623
西北工业大学,湖北,2021,文科,580
内蒙古大学,陕西,2021,文科,575
南京农业大学,湖南,2021,文科,618
郑州大学,福建,2021,文科,603
延边大学,广东,2021,文科,533
暨南大学,江苏,2021,文科,388
延边大学,广西,2021,文科,534
郑州大学,青海,2021,理科,461
南昌大学,河北,2021,文科,595
中国农业大学,新疆,2021,理科,573
北京交通大学,上海,2021,综合,555
中国科学技术大学,福建,2021,理科,660
东北林业大学,宁夏,2021,理科,451
北京化工大学,河南,2021,文科,646
南开大学,广西,2021,理科,648
北京外国语大学,云南,2021,文科,629
中国科学技术大学,甘肃,2021,理科,661
东南大学,黑龙江,2021,理科,623
西安交通大学,吉林,2021,文科,610
南开大学,青海,2021,文科,642
同济大学,陕西,2021,理科,675
东南大学,湖南,2021,理科,643
上海大学,广东,2021,理科,608
中国海洋大学,吉林,2021,理科,600
上海外国语大学,广西,2021,理科,613
浙江大学,江西,2021,理科,664
华中科技大学,广东,2021,文科,593
大连海事大学,山西,2021,理科,591
华南师范大学,四川,2021,文科,603
苏州大学,辽宁,2021,文科,599
东北农业大学,安徽,2021,理科,591
新疆大学,安徽,2021,文科,588
华北电力大学,安徽,2021,理科,616
东北师范大学,新疆,2021,文科,586
华中农业大学,四川,2021,理科,620
合肥工业大学,陕西,2021,理科,587
