山东大学,上海,本科一批,文科,0,0,0,0
上海大学,山东,本科一批,文科,597,622,611,0
苏州大学,甘肃,本科一批,文科,563,571,591,598
中国传媒大学,辽宁,本科一批,理科,621,642,626,635
哈尔滨工业大学（威海）,宁夏,本科一批,理科,529,561,561,566
北京大学,河南,本科一批,理科,672,687,684,703
南京农业大学,海南,"",理科,664,659,0,0
华北电力大学保定校区,上海,本科一批,综合,508,0,518,0
延边大学,湖南,专科批,文科,409,478,0,500
中国人民大学,海南,本科一批,文科,0,0,847,0
中国石油大学（华东）,湖南,专科批,理科,551,0,0,0
电子科技大学,上海,本科一批,理科,0,0,0,0
福州大学,黑龙江,本科一批,理科,517,580,586,580
重庆大学,甘肃,本科一批,理科,575,605,591,587
北京中医药大学,青海,本科一批,文科,463,464,523,564
中国石油大学（北京）克拉玛依校区,黑龙江,本科一批,文科,485,493,506,513
兰州大学,陕西,本科一批,理科,544,589,588,581
安徽大学,安徽,本科一批,文科,567,598,590,605
中南财经政法大学,云南,本科一批,理科,573,626,598,625
华中师范大学,湖北,本科一批,文科,591,617,591,589
大连海事大学,天津,本科一批,理科,547,590,571,0
中国矿业大学,江西,本科一批,理科,554,587,581,597
山东大学,内蒙古,本科一批,汉授音乐,0,0,405,0
中国海洋大学,湖北,本科一批,文科,595,624,597,593
陕西师范大学,江苏,本科一批,文科,355,361,367,376
复旦大学上海医学院,安徽,本科一批,理科,644,674,666,686
宁夏大学,内蒙古,本科一批,理科,481,513,530,504
东北林业大学,湖南,本科一批,理科,532,568,554,587
中国药科大学,江苏,专科批,理科,288,296,318,322
西南财经大学,四川,本科一批,文科,607,599,605,598
内蒙古大学,海南,本科一批,理科,0,0,601,0
南昌大学,吉林,本科一批,理科,524,573,574,582
石河子大学,福建,本科一批,文科,492,554,554,546
中国海洋大学,湖南,本科一批,文科,608,634,612,621
北京大学,新疆,本科一批,文科,631,639,645,636
南京师范大学,福建,本科一批,文科,0,611,601,603
苏州大学,辽宁,本科一批,理科,589,623,612,607
复旦大学,天津,本科一批,理科,680,690,695,0
西安交通大学,江苏,本科一批,文科,377,381,369,392
兰州大学,福建,本科一批,文科,546,602,589,597
浙江大学,陕西,本科一批,理科,678,680,682,685
西南财经大学,甘肃,本科一批,文科,559,577,594,602
北京工业大学,贵州,本科一批,文科,595,625,596,602
西北工业大学,天津,本科一批,理科,610,634,609,0
东北大学,广西,本科一批,理科,543,595,604,599
陕西师范大学,天津,本科一批,文科,573,600,578,0
新疆大学,吉林,本科一批,文科,0,545,0,543
中国科学技术大学,天津,本科一批,理科,669,681,683,0
复旦大学上海医学院,甘肃,本科一批,文科,0,0,0,572
哈尔滨工业大学,黑龙江,本科一批,文科,566,570,586,588
石河子大学,湖南,"",文科,524,555,0,0
北京化工大学,江西,本科一批,文科,567,612,594,589
上海交通大学,青海,本科一批,文科,0,605,587,621
广西大学,山东,本科一批,艺术类,319,0,0,0
暨南大学,新疆,本科一批,理科,555,594,576,541
安徽大学,北京,本科一批,理科,580,593,593,0
北京航空航天大学,安徽,本科一批,理科,640,664,655,671
江南大学,新疆,本科一批,理科,531,574,559,545
延边大学,辽宁,本科一批,文科,0,552,500,578
合肥工业大学宣城校区,广西,本科一批,文科,539,560,545,541
哈尔滨工业大学,天津,本科一批,理科,624,642,644,0
兰州大学,安徽,本科一批,文科,581,613,604,601
湖南大学,黑龙江,本科一批,理科,598,615,605,614
东南大学,陕西,本科一批,理科,632,648,641,640
对外经济贸易大学,云南,本科一批,文科,630,647,640,644
湖南师范大学,四川,本科一批,文科,583,593,592,580
西安电子科技大学,天津,本科一批,文科,563,589,567,0
新疆大学,内蒙古,本科一批,文科,0,0,558,551
兰州大学,上海,本科一批,文科,0,0,0,0
西北大学,湖南,本科一批,文科,597,626,603,612
西南财经大学,广西,本科一批,文科,598,607,587,582
武汉理工大学,山东,本科一批,综合,0,0,0,604
云南大学,北京,本科一批,综合,0,0,0,579
复旦大学,云南,本科一批,文科,654,678,675,674
西北大学,吉林,本科一批,文科,551,565,549,569
东北林业大学,湖南,本科一批,文科,573,609,589,599
郑州大学,江西,本科一批,理科,556,592,585,602
华南理工大学,浙江,本科一批,综合,633,647,655,652
中国矿业大学,海南,本科一批,文科,0,0,718,0
合肥工业大学,河北,本科一批,理科,588,623,607,634
哈尔滨工程大学,北京,本科一批,理科,581,595,597,0
中南财经政法大学,广东,本科一批,文科,574,600,596,593
宁夏大学,安徽,本科一批,理科,534,557,549,581
中国农业大学,上海,本科一批,综合,540,545,551,547
云南大学,内蒙古,本科一批,文科,534,567,588,592
中国海洋大学,江苏,本科一批,理科,365,372,382,388
华中农业大学,湖北,本科一批,文科,580,610,584,578
郑州大学,新疆,本科一批,文科,543,562,562,553
贵州大学,重庆,本科一批,文科,560,558,566,577
大连理工大学,辽宁,本科一批,文科,582,598,611,618
华东理工大学,海南,本科一批,理科,0,0,709,0
北京外国语大学,新疆,本科一批,文科,589,607,537,590
国防科技大学,山东,本科一批,理科,0,642,636,0
上海交通大学医学院,天津,本科一批,理科,672,685,686,0
海南大学,云南,"",理科,491,522,532,533
青海大学,天津,"",文科,0,0,0,0
内蒙古大学,山东,本科一批,综合,0,0,0,573
北京林业大学,上海,本科一批,理科,0,0,0,0
同济大学,山东,本科一批,综合,0,0,0,661
青海大学,广东,"",理科,0,0,0,0
华中科技大学,湖南,本科一批,文科,622,644,623,630
武汉理工大学,重庆,本科一批,文科,572,526,585,591
西安交通大学,黑龙江,本科一批,理科,633,649,644,653
西南财经大学,重庆,本科一批,文科,609,601,606,617
中国海洋大学,云南,本科一批,文科,617,629,619,625
北京外国语大学,甘肃,本科一批,文科,582,585,607,617
四川大学,陕西,本科一批,理科,609,632,622,620
安徽大学,河北,本科一批,理科,582,618,604,631
中国海洋大学,贵州,本科一批,文科,622,642,615,619
清华大学,湖南,本科一批,理科,675,693,674,685
内蒙古大学,陕西,本科一批,理科,497,526,478,516
东北师范大学,甘肃,本科一批,文科,542,550,574,582
南京大学,福建,本科一批,理科,620,658,670,670
东南大学,四川,本科一批,理科,654,654,668,656
中南财经政法大学,河北,本科一批,理科,607,639,608,641
哈尔滨工业大学,青海,本科一批,理科,489,556,568,565
中国矿业大学,山西,本科一批,理科,522,566,553,585
天津医科大学,河北,本科一批,理科,633,642,612,652
西北工业大学,江西,本科一批,理科,590,622,614,630
石河子大学,广东,本科一批,理科,0,479,489,525
华东理工大学,广西,本科一批,文科,0,588,572,567
中南财经政法大学,山西,本科一批,理科,558,595,581,602
湖南大学,广东,本科一批,理科,563,588,581,617
中南财经政法大学,福建,本科一批,理科,541,596,574,613
中国石油大学（北京）克拉玛依校区,北京,本科一批,理科,0,0,507,0
中国农业大学,新疆,本科一批,文科,552,574,574,555
哈尔滨工业大学（威海）,山东,本科一批,理科,608,616,611,0
南昌大学,福建,本科一批,理科,504,560,554,586
宁夏大学,贵州,本科一批,理科,491,523,509,510
西安电子科技大学,浙江,本科一批,文科,0,0,0,0
长安大学,宁夏,本科一批,理科,518,534,527,511
南京大学,上海,本科一批,理科,0,0,0,0
复旦大学,海南,本科一批,文科,0,816,844,0
南京农业大学,辽宁,本科一批,文科,569,591,599,609
长安大学,重庆,本科一批,文科,565,562,579,587
中国石油大学（北京）克拉玛依校区,四川,本科一批,理科,523,561,570,559
中国人民大学,山东,本科一批,理科,666,674,665,0
海南大学,四川,"",文科,549,568,552,542
兰州大学,海南,"",理科,688,693,0,0
贵州大学,贵州,"",文科,532,568,531,542
石河子大学,四川,"",理科,507,515,532,0
青海大学,吉林,"",文科,0,0,0,0
中国人民解放军海军军医大学,河南,本科一批,理科,0,0,0,0
四川大学,云南,本科一批,理科,592,647,637,647
四川大学,西藏,本科一批,文科,604,607,0,0
华东理工大学,浙江,本科一批,综合,631,641,647,645
海南大学,贵州,本科一批,文科,589,612,579,591
中国传媒大学,海南,本科一批,综合,0,0,0,719
西南大学,浙江,本科一批,综合,615,626,633,629
西安交通大学,湖北,本科一批,理科,632,632,626,638
中国矿业大学,北京,本科一批,综合,0,0,0,572
北京体育大学,宁夏,本科一批,理科,502,502,494,463
重庆大学,湖北,本科一批,理科,603,629,619,630
西安交通大学,福建,本科一批,理科,581,633,628,652
武汉大学,海南,本科一批,综合,0,0,0,755
西北农林科技大学,河北,本科一批,理科,577,612,595,624
哈尔滨工业大学（深圳）,浙江,本科一批,综合,643,656,670,655
西北大学,辽宁,本科一批,理科,565,603,592,588
南京航空航天大学,重庆,本科一批,理科,587,620,616,607
中国人民大学,黑龙江,本科一批,理科,661,669,673,682
南开大学,福建,本科一批,理科,584,635,623,648
苏州大学,山西,本科一批,理科,546,586,577,600
石河子大学,四川,本科一批,理科,528,571,574,556
哈尔滨工业大学,江西,本科一批,理科,600,628,621,637
贵州大学,广东,本科一批,理科,518,545,538,579
石河子大学,四川,专科批,理科,0,466,463,445
武汉大学,四川,本科一批,理科,644,659,673,662
北京外国语大学,广西,本科一批,理科,582,622,635,594
延边大学,河南,本科一批,文科,554,589,570,591
